category,publishedAt,title,source,url
general,2025-11-19T00:38:00Z,"Stock futures little changed as S&P 500 notches fourth-straight loss, Nvidia earnings loom: Live updates - CNBC",CNBC,https://www.cnbc.com/2025/11/18/stock-market-today-live-updates.html
general,2025-11-18T23:13:02Z,Singer D4vd considered suspect in investigation of teen found dead in his Tesla: Sources - abcnews.go.com,ABC News,https://abcnews.go.com/US/singer-d4vd-considered-suspect-investigation-teen-found-dead/story?id\\u003d126591951
general,2025-11-18T23:04:55Z,"In blow to Trump, federal judges block new Texas congressional map - Politico",Politico,https://www.politico.com/news/2025/11/18/federal-judges-block-new-texas-congressional-map-00656680
general,2025-11-18T22:58:59Z,Cloudflare shows internet outages aren’t a matter of if — but when - The Verge,The Verge,https://www.theverge.com/news/823562/cloudflare-outage-wake-up-call-websites
business,2025-11-19T00:38:00Z,"Stock futures little changed as S&P 500 notches fourth-straight loss, Nvidia earnings loom: Live updates - CNBC",CNBC,https://www.cnbc.com/2025/11/18/stock-market-today-live-updates.html
business,2025-11-18T23:27:52Z,US Plans to Approve Sale of Chips to Saudi AI Venture Humain - Bloomberg.com,Bloomberg,https://www.bloomberg.com/news/articles/2025-11-18/us-plans-to-approve-sale-of-chips-to-saudi-ai-venture-humain
business,2025-11-18T22:58:59Z,Cloudflare shows internet outages aren’t a matter of if — but when - The Verge,The Verge,https://www.theverge.com/news/823562/cloudflare-outage-wake-up-call-websites
business,2025-11-18T21:08:00Z,"Dow closes down nearly 500 points, S&P logs its longest slide since August - CNBC",CNBC,https://www.cnbc.com/2025/11/17/stock-market-today-live-updates.html
business,2025-11-18T21:04:09Z,"Meta Wins FTC Antitrust Trial Over Instagram, WhatsApp Deals - Bloomberg.com",Bloomberg,https://www.bloomberg.com/news/articles/2025-11-18/meta-wins-ftc-antitrust-trial-over-instagram-whatsapp-deals
science,2025-11-18T21:45:00Z,10 Of The Strangest Boeing Aircraft Ever Made - Jalopnik,Jalopnik,https://www.jalopnik.com/2028810/strangest-boeing-aircraft-ever-made/
science,2025-11-18T20:00:00Z,The James Webb Space Telescope may have finally found the 1st stars in the universe - Space,Space.com,https://www.space.com/astronomy/the-james-webb-space-telescope-may-have-finally-found-the-1st-stars-in-the-universe
science,2025-11-18T19:00:00Z,Do the cores of dead stars exist forever? - Space,Space.com,https://www.space.com/astronomy/stars/do-the-cores-of-dead-stars-exist-forever
science,2025-11-18T18:29:37Z,Looking inside a well-preserved Neanderthal nose to solve a mystery about our ancestors' faces - Phys.org,Phys.Org,https://phys.org/news/2025-11-neanderthal-nose-mystery-ancestors.html
technology,2025-11-18T23:00:06Z,"Goodbye, ‘Halo Infinite’ (2021-2025) - Gizmodo",Gizmodo.com,https://gizmodo.com/goodbye-halo-infinite-2021-2025-2000687712
technology,2025-11-18T20:18:53Z,GameStop Reveals Its Black Friday Ad for 2025 Alongside Early Deals - IGN,IGN,https://www.ign.com/articles/gamestop-reveals-its-black-friday-ad-for-2025-alongside-early-deals
technology,2025-11-18T20:08:00Z,"R.I.P. Rebecca Heineman, legendary game designer and trailblazer - AV Club",The A.V. Club,https://www.avclub.com/rebecca-heineman-dies-games
technology,2025-11-18T19:28:14Z,Microsoft tries to head off the “novel security risks” of Windows 11 AI agents - Ars Technica,Ars Technica,https://arstechnica.com/gadgets/2025/11/new-windows-11-ai-agents-can-work-in-the-background-but-create-new-security-risks/
